Title,Employees,Sector,Industry,Hqcity,Hqstate,Revenues,Revchange,Prftchange,Assets,Totshequity,Profits
Walmart,2300000,Retailing,General Merchandisers,Bentonville,AR,485873,0.8,-7.2,198825,77798,13643
Berkshire Hathaway,367700,Financials,Insurance: Property and Casualty (Stock),Omaha,NE,223604,6.1,0,620854,283001,24074
Apple,116000,Technology,"Computers, Office Equipment",Cupertino,CA,215639,-7.7,-14.4,321686,128249,45687
Exxon Mobil,72700,Energy,Petroleum Refining,Irving,TX,205004,-16.7,-51.5,330314,167325,7840
McKesson,68000,Wholesalers,Wholesalers: Health Care,San Francisco,CA,192487,6.2,53,56563,8924,2258
UnitedHealth Group,230000,Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN,184840,17.7,20.7,122810,38274,7017
CVS Health,204000,Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI,177526,15.8,1.5,94462,36830,5317
General Motors,225000,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,MI,166380,9.2,-2.7,221690,43836,9427
AT&T,268540,Telecommunications,Telecommunications,Dallas,TX,163786,11.6,-2.8,403821,123135,12976
Ford Motor,201000,Motor Vehicles & Parts,Motor Vehicles and Parts,Dearborn,MI,151800,1.5,-37.7,237951,29170,4596
AmerisourceBergen,18500,Wholesalers,Wholesalers: Health Care,Chesterbrook,PA,146850,8,-37.7,33656,2129,1427.9
Amazon.com,341400,Technology,Internet Services and Retailing,Seattle,WA,135987,27.1,297.8,83402,19285,2371
General Electric,295000,Industrials,Industrial Machinery,Boston,MA,126661,-9.8,297.8,365183,75828,8831
Verizon,160900,Telecommunications,Telecommunications,New York,NY,125980,-4.3,-26.6,244180,22524,13127
Cardinal Health,37300,Wholesalers,Wholesalers: Health Care,Dublin,OH,121546,18.5,17.4,34122,6554,1427
Costco,172000,Retailing,General Merchandisers,Issaquah,WA,118719,2.2,-1.1,33163,12079,2350
Walgreens Boots Alliance,300000,Food & Drug Stores,Food and Drug Stores,Deerfield,IL,117351,13.4,-1.1,72688,29880,4173
Kroger,443000,Food & Drug Stores,Food and Drug Stores,Cincinnati,OH,115337,5,-3.1,36505,6698,1975
Chevron,55200,Energy,Petroleum Refining,San Ramon,CA,107567,-18,-110.8,260078,145556,-497
Fannie Mae,7000,Financials,Diversified Financials,Washington,DC,107162,-2.9,12.4,3287968,6071,12313
J.P. Morgan Chase,243355,Financials,Commercial Banks,New York,NY,105486,4.4,1.2,2490972,254190,24733
Express Scripts Holding,25600,Health Care,Health Care: Pharmacy and Other Services,St. Louis,MO,100288,-1.4,37.5,51745,16236,3404.4
Home Depot,406000,Retailing,Specialty Retailers: Other,Atlanta,GA,94595,6.9,13.5,42966,4333,7957
Boeing,150540,Aerospace & Defense,Aerospace and Defense,Chicago,IL,94571,-1.6,-5.4,89997,817,4895
Wells Fargo,269100,Financials,Commercial Banks,San Francisco,CA,94176,4.6,-4.2,1930115,199581,21938
Bank of America Corp.,208024,Financials,Commercial Banks,Charlotte,NC,93662,0.7,12.7,2187702,266840,17906
Alphabet,72053,Technology,Internet Services and Retailing,Mountain View,CA,90272,20.4,19.1,167497,139036,19478
Microsoft,114000,Technology,Computer Software,Redmond,WA,85320,-8.8,37.8,193694,71997,16798
Anthem,53000,Health Care,Health Care: Insurance and Managed Care,Indianapolis,IN,84863,7.2,-3.5,65083,25100,2469.8
Citigroup,219000,Financials,Commercial Banks,New York,NY,82386,-6.7,-13.5,1792077,225120,14912
Comcast,159000,Telecommunications,Telecommunications,Philadelphia,PA,80403,7.9,6.5,180500,53943,8695
IBM,414400,Technology,Information Technology Services,Armonk,NY,79919,-3.1,-10,117470,18246,11872
State Farm Insurance Cos.,68234,Financials,Insurance: Property and Casualty (Mutual),Bloomington,IL,76132,0.6,-94.4,256030,87592,350.3
Phillips 66,14800,Energy,Petroleum Refining,Houston,TX,72396,-16.9,-63.2,51653,22390,1555
Johnson & Johnson,126400,Health Care,Pharmaceuticals,New Brunswick,NJ,71890,2.6,7.3,141208,70418,16540
Procter & Gamble,105000,Household Products,Household and Personal Products,Cincinnati,OH,71726,-8.9,49.3,127136,57341,10508
Valero Energy,9996,Energy,Petroleum Refining,San Antonio,TX,70166,-14.2,-42.6,46173,20024,2289
Target,323000,Retailing,General Merchandisers,Minneapolis,MN,69495,-5.8,-18.6,37431,10953,2737
Freddie Mac,5982,Financials,Diversified Financials,McLean,VA,65665,3.4,22.6,2023376,5075,7815
Lowe’s,240000,Retailing,Specialty Retailers: Other,Mooresville,NC,65017,10.1,21.5,34408,6434,3093
Dell Technologies,138000,Technology,"Computers, Office Equipment",Round Rock,TX,64806,18.1,21.5,118206,13243,-1672
MetLife,58000,Financials,"Insurance: Life, Health (Stock)",New York,NY,63476,-9.3,-84.9,898764,67309,800
Aetna,49500,Health Care,Health Care: Insurance and Managed Care,Hartford,CT,63155,4.7,-5,69146,17881,2271
PepsiCo,264000,"Food, Beverages & Tobacco",Food Consumer Products,Purchase,NY,62799,-0.4,16.1,74129,11095,6329
Archer Daniels Midland,31800,"Food, Beverages & Tobacco",Food Production,Chicago,IL,62346,-7.9,-30.8,39769,17173,1279
UPS,335520,Transportation,"Mail, Package, and Freight Delivery",Atlanta,GA,60906,4.4,-29.2,40377,405,3431
Intel,106000,Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,59387,7.3,-9.7,113327,66226,10316
Prudential Financial,49739,Financials,"Insurance: Life, Health (Stock)",Newark,NJ,58779,2.9,-22.6,783962,45863,4368
Albertsons Cos.,274000,Food & Drug Stores,Food and Drug Stores,Boise,ID,58734,115.9,-22.6,23770,1613,-502.2
United Technologies,201600,Aerospace & Defense,Aerospace and Defense,Farmington,CT,57244,-6.2,-33.6,89706,27579,5055
Marathon Petroleum,44460,Energy,Petroleum Refining,Findlay,OH,55858,-13.5,-58.8,44413,13557,1174
Disney,195000,Media,Entertainment,Burbank,CA,55632,6,12,92033,43265,9391
Humana,51600,Health Care,Health Care: Insurance and Managed Care,Louisville,KY,54379,0.2,-51.9,25396,10685,614
Pfizer,96500,Health Care,Pharmaceuticals,New York,NY,52824,8.1,3.7,171615,59544,7215
AIG,56400,Financials,Insurance: Property and Casualty (Stock),New York,NY,52367,-10.2,-138.7,498264,76300,-849
Lockheed Martin,97000,Aerospace & Defense,Aerospace and Defense,Bethesda,MD,50658,9.8,47.1,47806,1511,5302
Sysco,51900,Wholesalers,Wholesalers: Food and Grocery,Houston,TX,50367,3.5,38.3,16722,3480,949.6
FedEx,335767,Transportation,"Mail, Package, and Freight Delivery",Memphis,TN,50365,6.1,73.3,46064,13784,1820
Hewlett Packard Enterprise,195000,Technology,Information Technology Services,Palo Alto,CA,50123,6.1,73.3,79679,31448,3161
Cisco Systems,73700,Technology,Network and Other Communications Equipment,San Jose,CA,49247,0.2,19.6,121652,63586,10739
HP,49000,Technology,"Computers, Office Equipment",Palo Alto,CA,48238,-53.3,-45.2,29010,-3889,2496
Dow Chemical,56000,Chemicals,Chemicals,Midland,MI,48158,-1.3,-43.8,79511,25987,4318
HCA Holdings,210500,Health Care,Health Care: Medical Facilities,Nashville,TN,44747,2.7,35.7,33758,-7302,2890
Coca-Cola,100300,"Food, Beverages & Tobacco",Beverages,Atlanta,GA,41863,-5.5,-11.2,87270,23062,6527
New York Life Insurance,11320,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40787,-11.1,324.1,287196,20108,1088.1
Centene,30500,Health Care,Health Care: Insurance and Managed Care,St. Louis,MO,40721,78.6,58.3,20197,5895,562
American Airlines Group,122300,Transportation,Airlines,Fort Worth,TX,40180,-2,-64.8,51274,3785,2676
Nationwide,34320,Financials,Insurance: Property and Casualty (Mutual),Columbus,OH,40074,-0.4,-42.4,197790,15537,334.3
Merck,68000,Health Care,Pharmaceuticals,Kenilworth,NJ,39807,0.8,-11.8,95377,40088,3920
Cigna,41000,Health Care,Health Care: Insurance and Managed Care,Bloomfield,CT,39668,4.7,-10.8,59360,13723,1867
Delta Air Lines,83756,Transportation,Airlines,Atlanta,GA,39639,-2.6,-3.4,51261,12287,4373
Best Buy,125000,Retailing,Specialty Retailers: Other,Richfield,MN,39403,-0.9,36.9,13856,4709,1228
Honeywell International,131000,Industrials,"Electronics, Electrical Equipment",Morris Plains,NJ,39302,1.9,0.9,54146,19369,4809
Caterpillar,95400,Industrials,Construction and Farm Machinery,Peoria,IL,38537,-18,-103.2,74704,13137,-67
Liberty Mutual Insurance Group,50000,Financials,Insurance: Property and Casualty (Stock),Boston,MA,38308,-2.9,95.7,125592,20366,1006
Morgan Stanley,55311,Financials,Commercial Banks,New York,NY,37949,0.1,-2.4,814949,76050,5979
Massachusetts Mutual Life Insurance,11737,Financials,"Insurance: Life, Health (Mutual)",Springfield,MA,37788,-1.2,-10.6,271040,15424,1273.5
