Title,Employees,Revenues,Revchange,Assets,Totshequity,Profits
Walmart,2300000,485873,0.8,198825,77798,13643
Berkshire Hathaway,367700,223604,6.1,620854,283001,24074
Apple,116000,215639,-7.7,321686,128249,45687
Exxon Mobil,72700,205004,-16.7,330314,167325,7840
McKesson,68000,192487,6.2,56563,8924,2258
UnitedHealth Group,230000,184840,17.7,122810,38274,7017
CVS Health,204000,177526,15.8,94462,36830,5317
General Motors,225000,166380,9.2,221690,43836,9427
AT&T,268540,163786,11.6,403821,123135,12976
Ford Motor,201000,151800,1.5,237951,29170,4596
AmerisourceBergen,18500,146850,8,33656,2129,1427.9
Amazon.com,341400,135987,27.1,83402,19285,2371
General Electric,295000,126661,-9.8,365183,75828,8831
Verizon,160900,125980,-4.3,244180,22524,13127
Cardinal Health,37300,121546,18.5,34122,6554,1427
Costco,172000,118719,2.2,33163,12079,2350
Walgreens Boots Alliance,300000,117351,13.4,72688,29880,4173
Kroger,443000,115337,5,36505,6698,1975
Chevron,55200,107567,-18,260078,145556,-497
Fannie Mae,7000,107162,-2.9,3287968,6071,12313
J.P. Morgan Chase,243355,105486,4.4,2490972,254190,24733
Express Scripts Holding,25600,100288,-1.4,51745,16236,3404.4
Home Depot,406000,94595,6.9,42966,4333,7957
Boeing,150540,94571,-1.6,89997,817,4895
Wells Fargo,269100,94176,4.6,1930115,199581,21938
Bank of America Corp.,208024,93662,0.7,2187702,266840,17906
Alphabet,72053,90272,20.4,167497,139036,19478
Microsoft,114000,85320,-8.8,193694,71997,16798
Anthem,53000,84863,7.2,65083,25100,2469.8
Citigroup,219000,82386,-6.7,1792077,225120,14912
Comcast,159000,80403,7.9,180500,53943,8695
IBM,414400,79919,-3.1,117470,18246,11872
State Farm Insurance Cos.,68234,76132,0.6,256030,87592,350.3
Phillips 66,14800,72396,-16.9,51653,22390,1555
Johnson & Johnson,126400,71890,2.6,141208,70418,16540
Procter & Gamble,105000,71726,-8.9,127136,57341,10508
Valero Energy,9996,70166,-14.2,46173,20024,2289
Target,323000,69495,-5.8,37431,10953,2737
Freddie Mac,5982,65665,3.4,2023376,5075,7815
Lowe’s,240000,65017,10.1,34408,6434,3093
Dell Technologies,138000,64806,18.1,118206,13243,-1672
MetLife,58000,63476,-9.3,898764,67309,800
Aetna,49500,63155,4.7,69146,17881,2271
PepsiCo,264000,62799,-0.4,74129,11095,6329
Archer Daniels Midland,31800,62346,-7.9,39769,17173,1279
UPS,335520,60906,4.4,40377,405,3431
Intel,106000,59387,7.3,113327,66226,10316
Prudential Financial,49739,58779,2.9,783962,45863,4368
Albertsons Cos.,274000,58734,115.9,23770,1613,-502.2
United Technologies,201600,57244,-6.2,89706,27579,5055
Marathon Petroleum,44460,55858,-13.5,44413,13557,1174
Disney,195000,55632,6,92033,43265,9391
Humana,51600,54379,0.2,25396,10685,614
Pfizer,96500,52824,8.1,171615,59544,7215
AIG,56400,52367,-10.2,498264,76300,-849
Lockheed Martin,97000,50658,9.8,47806,1511,5302
Sysco,51900,50367,3.5,16722,3480,949.6
FedEx,335767,50365,6.1,46064,13784,1820
Hewlett Packard Enterprise,195000,50123,6.1,79679,31448,3161
Cisco Systems,73700,49247,0.2,121652,63586,10739
HP,49000,48238,-53.3,29010,-3889,2496
Dow Chemical,56000,48158,-1.3,79511,25987,4318
HCA Holdings,210500,44747,2.7,33758,-7302,2890
Coca-Cola,100300,41863,-5.5,87270,23062,6527
New York Life Insurance,11320,40787,-11.1,287196,20108,1088.1
Centene,30500,40721,78.6,20197,5895,562
American Airlines Group,122300,40180,-2,51274,3785,2676
Nationwide,34320,40074,-0.4,197790,15537,334.3
Merck,68000,39807,0.8,95377,40088,3920
Cigna,41000,39668,4.7,59360,13723,1867
Delta Air Lines,83756,39639,-2.6,51261,12287,4373
Best Buy,125000,39403,-0.9,13856,4709,1228
Honeywell International,131000,39302,1.9,54146,19369,4809
Caterpillar,95400,38537,-18,74704,13137,-67
Liberty Mutual Insurance Group,50000,38308,-2.9,125592,20366,1006
Morgan Stanley,55311,37949,0.1,814949,76050,5979
Massachusetts Mutual Life Insurance,11737,37788,-1.2,271040,15424,1273.5
Goldman Sachs Group,34400,37712,-3.8,860165,86893,7398
Energy Transfer Equity,30992,37504,-11,79011,-1694,995
TIAA,12997,37105,5.5,523194,35583,1492.3
Oracle,136000,37047,-3.1,112180,47289,8901
Tyson Foods,114000,36881,-10.9,22373,9608,1768
United Continental Holdings,88000,36556,-3.5,40140,8659,2263
Allstate,43275,36534,2.5,108610,20573,1877
Publix Super Markets,191000,34274,5.1,17464,13473,2025.7
American Express,56400,33823,-1.8,158893,20501,5408
TJX,235000,33184,7.2,12884,4511,2298.2
Nike,70700,32376,5.8,21396,12258,3760
Exelon,34396,31360,6.5,114904,25837,1134
General Dynamics,98800,31353,-0.4,32872,10976,2955
Rite Aid,70580,30737,15.9,11277,581,165.5
Gilead Sciences,9000,30390,-6.9,56977,18887,13501
CHS,12157,30347,-12.2,17318,7852,424.2
3M,91584,30109,-0.5,32906,10298,5050
Time Warner,25000,29318,4.3,65966,24335,3926
Charter Communications,91500,29003,197.3,149067,40139,3522
Northwestern Mutual,5646,28799,2.4,250441,20226,818
Facebook,17048,27638,54.2,64961,59194,10217
Travelers Cos.,30900,27625,3.1,100245,23221,3014
Capital One Financial,47300,27519,9.6,357033,47514,3751
Twenty-First Century Fox,21500,27326,-5.7,48365,13661,2755
USAA,29943,27131,11.4,147290,28840,1779.1
World Fuel Services,5000,27016,-11.1,5413,1925,126.5
Philip Morris International,79500,26685,-0.4,36851,-12688,6967
Deere,56767,26644,-7.7,57981,6520,1523.9
Kraft Heinz,41000,26487,44.4,120480,57358,3632
Tech Data,9500,26235,-0.5,7932,2170,195.1
Avnet,17700,26219,-6.1,11240,4691,506.5
Mondelez International,90000,25923,-12.5,61538,25161,1659
Macy’s,148300,25778,-4.8,19851,4323,619
AbbVie,30000,25638,12.2,66099,4636,5953
McDonald’s,375000,24622,-3.1,31024,-2204,4686.5
DuPont,46000,24594,-12,39964,9998,2513
Northrop Grumman,67000,24508,4.2,25614,5259,2200
ConocoPhillips,13300,24360,-21.3,89772,34974,-3615
Raytheon,63000,24069,3.5,30052,10066,2211
Tesoro,6308,24005,-14.7,20398,5465,734
Arrow Electronics,18700,23825,2.3,14206,4413,522.8
Qualcomm,30500,23554,-6.8,52359,31778,5705
Progressive,31721,23441,12.4,33428,7957,1031
Duke Energy,28798,23369,-1,132761,41033,2152
Enterprise Products Partners,6800,23022,-14.8,52194,22047,2513.1
Amgen,19200,22991,6.1,77626,29875,7722
US Foods Holding,25000,22919,-0.9,8945,2538,209.8
U.S. Bancorp,71191,22744,5.8,445964,47298,5888
Aflac,10212,22559,8.1,129819,20482,2659
Sears Holdings,140000,22138,-12,9362,-3824,-2221
Dollar General,121000,21987,7.9,11672,5406,1251.1
AutoNation,26000,21609,3.6,10060,2310,430.5
Community Health Systems,108000,21374,-5.8,21944,1615,-1721
Starbucks,254000,21316,11.2,14330,5884,2817.7
Eli Lilly,41975,21222,6.3,38806,14008,2737.6
International Paper,55000,21079,-5.8,33345,4341,904
Tenet Healthcare,116475,21070,4.8,24701,417,-192
